goal,url,source,trace_success,trace_skill_id,has_available_operations,n_operations,error_code,error_message,captured_html_bytes,captured_text_bytes,captured_title,captured_api_calls,captured_intent_verdict,captured_intent_reason
get polymarket event,https://polymarket.com/event/will-btc-hit-100k,live-capture,True,oFyXbkpDc5l1nDwelRmPG,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/oFyXbkpDc5l1nDwelRmPG/execute with params.endpoint_id.,,,,,,
get semanticscholar paper,https://www.semanticscholar.org/paper/Attention-Is-All-You-Need-Vaswani-Shazeer/204e3073870fae3d05bcbc2f6a8e263d9b72e776,live-capture,True,1yIZ09cDBGtNlm1HHJDLC,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/1yIZ09cDBGtNlm1HHJDLC/execute with params.endpoint_id.,,,,,,
get google scholar paper,https://scholar.google.com/scholar?q=transformer+attention,marketplace,True,T3QK3DSjyZSkjhFpn-3Q4,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/T3QK3DSjyZSkjhFpn-3Q4/execute with params.endpoint_id.,,,,,,
get duckduckgo search,https://duckduckgo.com/?q=unbrowse+ai,live-capture,False,browser-capture,False,0,no_endpoints,No API endpoints or structured DOM data found at https://duckduckgo.com/?q=unbrowse+ai. The site may require authentication or may not expose machine-readable data from this page.,,,,,,
get brave search,https://search.brave.com/search?q=unbrowse+ai,live-capture,True,5S6GWlzbi338_mJ93rKf6,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/5S6GWlzbi338_mJ93rKf6/execute with params.endpoint_id.,,,,,,
get blockscout tx,https://eth.blockscout.com/tx/0x2bb4d8e1c5a60a65a76e3e17a06f8a3c63d8c3a9f6d35a4e18d5c1e0a1e5e5e5,live-capture,False,browser-capture,False,0,low_quality_dom_extraction,Structured DOM extraction was rejected for https://eth.blockscout.com/tx/0x2bb4d8e1c5a60a65a76e3e17a06f8a3c63d8c3a9f6d35a4e18d5c1e0a1e5e5e5: message_only,,,,,,
get etherscan tx,https://etherscan.io/tx/0x2bb4d8e1c5a60a65a76e3e17a06f8a3c63d8c3a9f6d35a4e18d5c1e0a1e5e5e5,live-capture,True,SfTsjFKZmXQdTLsT0m-iv,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/SfTsjFKZmXQdTLsT0m-iv/execute with params.endpoint_id.,,,,,,
get coinmarketcap coin,https://coinmarketcap.com/currencies/bitcoin/,live-capture,True,9V7uS8DqJCUgzlPweXbp2,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/9V7uS8DqJCUgzlPweXbp2/execute with params.endpoint_id.,,,,,,
get yahoo finance ticker,https://finance.yahoo.com/quote/AAPL,live-capture,True,TpJ1MMGx7OOnnk3AmOFi5,True,3,,Found 10 endpoint(s). Pick one and call POST /v1/skills/TpJ1MMGx7OOnnk3AmOFi5/execute with params.endpoint_id.,,,,,,
get crunchbase company,https://www.crunchbase.com/organization/openai,live-capture,True,hL2JyR2QJg9y6rMb0pmBw,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/hL2JyR2QJg9y6rMb0pmBw/execute with params.endpoint_id.,,,,,,
get angellist startup,https://wellfound.com/company/openai,live-capture,True,-5jj9wZfF8hVa5PTmKge0,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/-5jj9wZfF8hVa5PTmKge0/execute with params.endpoint_id.,,,,,,
get producthunt product,https://www.producthunt.com/products/openai,live-capture,True,atPKHnQEn8dU8SUA6xR0w,True,3,,Found 2 endpoint(s). Pick one and call POST /v1/skills/atPKHnQEn8dU8SUA6xR0w/execute with params.endpoint_id.,,,,,,
get stackoverflow answer,https://stackoverflow.com/questions/tagged/webscraping,marketplace,True,EIbWgnHuRdEstSmU4DWVl,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/EIbWgnHuRdEstSmU4DWVl/execute with params.endpoint_id.,,,,,,
get github user,https://github.com/lewistham9x,marketplace,True,dEEvF8cfuZdKP7AMzyxUY,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/dEEvF8cfuZdKP7AMzyxUY/execute with params.endpoint_id.,,,,,,
get hackernoon article,https://hackernoon.com/,live-capture,True,tkqW8zT8uLTOJLccOQUoT,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/tkqW8zT8uLTOJLccOQUoT/execute with params.endpoint_id.,,,,,,
get substack article,https://stratechery.com/,live-capture,True,Z0gZupClmPw3T0elWA3gf,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/Z0gZupClmPw3T0elWA3gf/execute with params.endpoint_id.,,,,,,
get x post,https://twitter.com/sama/status/1,live-capture,False,browser-capture,False,0,no_endpoints,No API endpoints or structured DOM data found at https://twitter.com/sama/status/1. The site may require authentication or may not expose machine-readable data from this page.,,,,,,
get linkedin jobs,https://www.linkedin.com/jobs/search/?keywords=software+engineer,marketplace,True,IAsrL6YgM9keLfmQLkqVZ,True,1,,Found 1 endpoint(s). Pick one and call POST /v1/skills/IAsrL6YgM9keLfmQLkqVZ/execute with params.endpoint_id.,,,,,,
get indeed company,https://www.indeed.com/cmp/Openai,marketplace,True,i-v2m9acGVEdkIO7gMVqZ,True,3,,Found 6 endpoint(s). Pick one and call POST /v1/skills/i-v2m9acGVEdkIO7gMVqZ/execute with params.endpoint_id.,,,,,,
