# backend module <TAB> paper-id   — FIRST-CUT topical map (which paper discusses this module).
# Editable data, reviewed by hand. Modules absent from this file are ORPHANS (no paper represents them).
# paper-id ∈ internal-apis | energy-ranking | execute | crypto | maintenance | out-of-scope
#   out-of-scope = the module is DELIBERATELY not paper-claimed (operational/growth/infra).
#   A module absent from this file entirely is an ORPHAN (not-yet-triaged) — drive that count to zero.
# Generated/checked by paper/scripts/backend-paper-coverage.py. This is the REVERSE of anchors.tsv
# (anchors.tsv = paper-claim → code; this = code → paper). Topical ≠ anchored: an entry here only
# claims the paper discusses the subsystem, not that a gate-enforced claim anchor exists.

# --- internal-apis: shadow APIs, shared discovery, the route library, capture→resolve→execute ---
services/freshness-probe	maintenance
services/routing-telemetry	maintenance
services/validator	maintenance
services/official-submissions	maintenance
services/release-manifest	maintenance
services/shadow-earnings	maintenance
services/vine-buyback-trigger	maintenance
services/attribution	maintenance
services/audit	maintenance
services/traction	maintenance
services/flywheel	maintenance
services/publish-sanitize	maintenance
services/rail-rotation	maintenance
# (routes/telemetry + services/install-telemetry moved to out-of-scope: growth/funnel instrumentation, not proof-of-indexing — Day-8 audit)
services/savings	maintenance
services/pricing	maintenance

# === Day-3 triage: every remaining module sorted after its kind (first-cut, reviewable) ===
# slips fixed to topical (identity/auth/payments → crypto; sessions+caches → internal-apis; webhooks/telemetry → maintenance)
routes/agents	crypto
routes/cookies	crypto
routes/session	internal-apis
routes/session-state	internal-apis
routes/webhooks	maintenance
services/accounts	crypto
services/agents	crypto
services/cookie-vault	crypto
services/transactions	crypto
services/ai-scrub	maintenance
services/github-webhooks	maintenance
services/trace-state	maintenance
services/edge-cache	internal-apis
services/http-cache	internal-apis
services/kv-cache	internal-apis
services/session-state	internal-apis
middleware/auth	crypto
# deliberately out-of-scope: operational / growth / infra (papers should NOT claim these)
routes/admin	out-of-scope
routes/analytics	out-of-scope
routes/blog	out-of-scope
routes/dashboard	out-of-scope
routes/faremeter-test	out-of-scope
routes/health	out-of-scope
routes/issues	out-of-scope
routes/landing	out-of-scope
routes/ops	out-of-scope
routes/provision-pod	out-of-scope
routes/proxy	out-of-scope
routes/screenshot	out-of-scope
routes/settings	out-of-scope
routes/stats	out-of-scope
routes/tts	out-of-scope
services/acquisition	out-of-scope
services/aggregates	out-of-scope
services/analytics	out-of-scope
services/campaign-feedback	out-of-scope
services/demo-pipeline	out-of-scope
services/email	out-of-scope
services/emergentdb	out-of-scope
services/founder-allowlist	out-of-scope
services/funnel	out-of-scope
services/issues	out-of-scope
services/kv	out-of-scope
services/landing	out-of-scope
services/landing-experiments	out-of-scope
services/metrics	out-of-scope
services/perf	out-of-scope
services/runpod-pod-adapter	out-of-scope
services/screenshot-blob	out-of-scope
services/settings-state	out-of-scope
services/stats-kv-guard	out-of-scope
services/storm-safe	out-of-scope
middleware/rate-limit	out-of-scope
routes/telemetry	out-of-scope
services/install-telemetry	out-of-scope
routes/publish-error-map	maintenance
routes/skills-chat	internal-apis
services/bible-anchor	energy-ranking
services/recommend-command	execute
services/route-ledger	maintenance
services/skill-contract	internal-apis
services/skill-contract-cache	internal-apis
services/skill-contract-persist	maintenance
services/web-search	internal-apis
